Subject,Chapter,Type,Level,Topic,Board,Question,Question_img,Answer,Answer_img,Solution,Solution_Img,Explaination,Explaination_Img,Options
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MSB '2023,"1.  <math>(x-1)^{2}+3 y=0</math> সমীকরণটি কী নির্দেশ করে?
",,পরাবৃত্ত,,"
",,,,A. সরলরেখা----B. বৃত্ত----C. পরাবৃত্ত----D. অধিবৃত্ত
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},SB '2023,"2.  কোনো কণিকের উৎকেন্দ্রিকতা <math>\frac{\sqrt{3}}{2}</math> হলে, সেটি একটি— 
",,উপবৃত্ত,,"
",,,,A. পরাবৃত্ত----B. উপবৃত্ত----C. অধিবৃত্ত----D. সম অধিবৃত্ত
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2023,"3.  <math>y^{2}=4 x+3 y-7</math> পরাবৃত্তের উপকেন্দ্রিক লম্বের দৈর্ঘ্য— 
",,4,,"<math>y^{2}=4 x+3 y-7</math>
<math>\Rightarrow</math> <math>y^{2}-3 y+\left(\frac{3}{2}\right)^{2}=4 x-7+\frac{9}{4}</math>
<math>\Rightarrow</math> <math>\left(y-\frac{3}{2}\right)^{2}=4 x-\frac{19}{4}=4\left(x-\frac{19}{16}\right)</math> .... ...(i)
(i) নং কে <math>Y^{2}=4 a X</math> এর সাথে তুলনা করে পাই, <math>4 a=4</math>
<math>\therefore</math> উপকেন্দ্রিক লম্বের দৈর্ঘ্য, <math>4 a=4</math>
",,,,A. 4----B. 8----C. 16----D. কোনোটি নয়
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2023,"4.  <math>x^{2}=P y</math> পরাবৃত্তটি (6, – 3) বিন্দুগামী হলে, পরাবৃত্তের উপকেন্দ্রের স্থানাঙ্ক— 
",,"<math>(0,-3)</math>
",,"<math>x^{2}=P y</math> পরাবৃত্তটি (6, – 3 ) বিন্দুগামী হলে,
<math>6^{2}=P(-3) \therefore P=-12</math>
<math>\therefore \mathrm{x}^{2}=-12 \mathrm{y}</math>
<math>\Rightarrow</math> <math>x^{2}=-4 \cdot(3) y</math>
<math>\therefore</math> পরাবৃত্তের উপকেন্দ্রের স্থানাঙ্ক (0, − 3 )
",,,,"A. <math>(0,3)</math>----B. <math>(3,0)</math>----C. <math>(0,-3)</math>----D. <math>(-3,0)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2023,"5.  <math>y^{2}=4 x+4 y-8</math> পরাবৃত্তের শীর্ষের স্থানাঙ্ক-
",,"<math>(1,2)</math>
",,"<math>y^{2}=4 x+4 y-8</math>
<math>\Rightarrow</math> <math>y^{2}-4 y+4=4 x-4</math>
<math>\Rightarrow</math> <math>(y-2)^{2}=4(x-1)</math>
<math>\therefore</math> শীর্ষের স্থানাঙ্ক (1, 2)
",,,,"A. <math>(1,2)</math>----B. <math>(2,1)</math>----C. <math>(2,2)</math>----D. <math>(2,4)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2023,"6.  <math>x^{2}=16 y</math> পরাবৃত্তের উপরিস্থিত P বিন্দুর ভুজ 16 হলে, P বিন্দুর উপকেন্দ্রিক দূরত্ব কত?
",,20,,"<math>x^{2}=4 a y</math> পরাবৃত্তের উপরস্থ কোনো বিন্দু (x, y) এর উপকেন্দ্রিক দূরত্ব y + a।
প্রদত্ত সমীকরণ <math>x^{2}=16 y</math> হতে আমরা পাই বিন্দুর ভুজ 16 হলে, কোটির মান
<math>(16)^{2}=16 . y \Rightarrow y=16</math>
অতএব, উপকেন্দ্রিক দূরত্ব y + a = 16 + 4 = 20
",,,,A. 12----B. 20----C. 24----D. 36
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MSB '2023,"7.  <math>\mathrm{y}^{2}-\mathrm{k x}=0</math> পরাবৃত্তটির নিয়ামক রেখার সমীকরণ x − 1 = 0 হলে k এর মান— 
",,"<math>-4</math>
",,"<math>y^{2}-k x=0</math>
<math>\Rightarrow</math> <math>y^{2}=k x=4 \frac{k}{4} x</math> ;
পরাবৃত্তটির নিয়ামকরেখার সমীকরণ, <math>x+\frac{k}{4}=0</math>
<math>\Rightarrow</math> <math>x=-\frac{k}{4}</math>
প্রদত্ত নিয়ামক রেখা, <math>x-1=0</math> বা <math>x=1</math>.
অতএব <math>-\frac{k}{4}=1</math>
<math>\Rightarrow</math> <math>k=-4</math>
",,,,A. <math>4 \sqrt{2}</math>----B. <math>4</math>----C. <math>-4</math>----D. <math>-4 \sqrt{2}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MSB '2023,"8.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>y^{2}-4 x+4 y-6=0</math> একটি পরাবৃত্তের সমীকরণ।
পরাবৃত্তটির উপকেন্দ্রের স্থানাঙ্ক—
",,"<math>\left(-\frac{3}{2},-2\right)</math>
",,"<math>y^{2}-4 x+4 y-6=0</math>
<math>\Rightarrow</math> <math>y^{2}+4 y+4=4 x+6+4=4 x+10</math>
<math>\Rightarrow</math> <math>(y+2)^{2}=4.1\left(x+\frac{5}{2}\right)</math>
<math>\therefore</math> উপকেন্দ্রের স্থানাঙ্ক <math>\equiv\left(1+\left(-\frac{5}{2}\right),-2\right) \equiv\left(-\frac{3}{2},-2\right)</math>
",,,,"A. <math>\left(\frac{3}{2},-2\right)</math>----B. <math>\left(-2,-\frac{3}{2}\right)</math>----C. <math>\left(-\frac{3}{2}, 2\right)</math>----D. <math>\left(-\frac{3}{2},-2\right)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MSB '2023,"9.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>y^{2}-4 x+4 y-6=0</math> একটি পরাবৃত্তের সমীকরণ।
পরাবৃত্তটির শীর্ষবিন্দুর স্থানাঙ্ক-
",,"<math>\left(-\frac{5}{2},-2\right)</math>
",,"<math>(y+2)^{2}=4.1\left(x+\frac{5}{2}\right)</math> পরাবৃত্তের শীর্ষবিন্দুর স্থানাঙ্ক <math>=\left(-\frac{5}{2},-2\right)</math>
",,,,"A. <math>\left(\frac{5}{2}, 2\right)</math>----B. <math>\left(\frac{5}{2},-2\right)</math>----C. <math>\left(-\frac{5}{2}, 2\right)</math>----D. <math>\left(-\frac{5}{2},-2\right)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2023,"10.  b এর মান কত হলে y = 4x + 1 সরলরেখাটি <math>y^{2}=8 b x</math> পরাবৃত্তকে স্পর্শ করবে?
",,"<math>2</math>
",,"আমরা জানি,
<math>y=m x+c</math>  যদি <math>y^{2}=4 a x</math> পরাবৃত্তকে স্পর্শ করে তবে, <math>a=m c</math> হয়
প্রদত্ত পরাবৃত্তের সমীকরণ <math>y^{2}=8 b x</math> বা <math>y^{2}=4 \cdot(2 b) x</math> ও তার
স্পর্শকের সমীকরণ, <math>y=4 x+1</math>
<math>\therefore 2 b=4 \times 1</math>
<math>\Rightarrow</math> <math>b=2</math>
",,,,A. <math>\frac{1}{4}</math>----B. <math>\frac{1}{2}</math>----C. <math>2</math>----D. <math>4</math>
